Rank,Title,Year,Director,Cast,Rating,Poster
137,Pan's Labyrinth,2006,Guillermo del Toro,"Ivana Baquero,  Ariadna Gil",8.2,\Posters\Pan's Labyrinth
138,Unforgiven,1992,Clint Eastwood,"Clint Eastwood,  Gene Hackman",8.2,\Posters\Unforgiven
139,The Truman Show,1998,Peter Weir,"Jim Carrey,  Ed Harris",8.2,\Posters\The Truman Show
140,There Will Be Blood,2007,Paul Thomas Anderson,"Daniel Day-Lewis,  Paul Dano",8.2,\Posters\There Will Be Blood
141,The Sixth Sense,1999,M. Night Shyamalan,"Bruce Willis,  Haley Joel Osment",8.2,\Posters\The Sixth Sense
142,A Beautiful Mind,2001,Ron Howard,"Russell Crowe,  Ed Harris",8.2,\Posters\A Beautiful Mind
143,Shutter Island,2010,Martin Scorsese,"Leonardo DiCaprio,  Emily Mortimer",8.2,\Posters\Shutter Island
144,Yôjinbô,1961,Akira Kurosawa,"Toshirô Mifune,  Eijirô Tôno",8.1,\Posters\Yôjinbô
145,Jurassic Park,1993,Steven Spielberg,"Sam Neill,  Laura Dern",8.1,\Posters\Jurassic Park
146,The Treasure of the Sierra Madre,1948,John Huston,"Humphrey Bogart,  Walter Huston",8.1,\Posters\The Treasure of the Sierra Madre
147,Monty Python and the Holy Grail,1975,Terry Gilliam,"Graham Chapman,  John Cleese",8.1,\Posters\Monty Python and the Holy Grail
148,Spider-Man: No Way Home,2021,Jon Watts,"Tom Holland,  Zendaya",8.1,\Posters\Spider-Man: No Way Home
149,The Great Escape,1963,John Sturges,"Steve McQueen,  James Garner",8.1,\Posters\The Great Escape
150,Rashômon,1950,Akira Kurosawa,"Toshirô Mifune,  Machiko Kyô",8.1,\Posters\Rashômon
151,No Country for Old Men,2007,Ethan Coen,"Tommy Lee Jones,  Javier Bardem",8.1,\Posters\No Country for Old Men
152,Kill Bill: Vol. 1,2003,Quentin Tarantino,"Uma Thurman,  David Carradine",8.1,\Posters\Kill Bill: Vol. 1
153,The Thing,1982,John Carpenter,"Kurt Russell,  Wilford Brimley",8.1,\Posters\The Thing
154,Finding Nemo,2003,Andrew Stanton,"Albert Brooks,  Ellen DeGeneres",8.1,\Posters\Finding Nemo
155,The Elephant Man,1980,David Lynch,"Anthony Hopkins,  John Hurt",8.1,\Posters\The Elephant Man
156,Chinatown,1974,Roman Polanski,"Jack Nicholson,  Faye Dunaway",8.1,\Posters\Chinatown
157,Raging Bull,1980,Martin Scorsese,"Robert De Niro,  Cathy Moriarty",8.1,\Posters\Raging Bull
158,V for Vendetta,2005,James McTeigue,"Hugo Weaving,  Natalie Portman",8.1,\Posters\V for Vendetta
159,Gone with the Wind,1939,Victor Fleming,"Clark Gable,  Vivien Leigh",8.1,\Posters\Gone with the Wind
160,"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,"Jason Flemyng,  Dexter Fletcher",8.1,"\Posters\Lock, Stock and Two Smoking Barrels"
161,Inside Out,2015,Pete Docter,"Amy Poehler,  Bill Hader",8.1,\Posters\Inside Out
162,Dial M for Murder,1954,Alfred Hitchcock,"Ray Milland,  Grace Kelly",8.1,\Posters\Dial M for Murder
163,El secreto de sus ojos,2009,Juan José Campanella,"Ricardo Darín,  Soledad Villamil",8.1,\Posters\El secreto de sus ojos
164,Hauru no ugoku shiro,2004,Hayao Miyazaki,"Chieko Baishô,  Takuya Kimura",8.1,\Posters\Hauru no ugoku shiro
165,"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,"Frances McDormand,  Woody Harrelson",8.1,"\Posters\Three Billboards Outside Ebbing, Missouri"
166,The Bridge on the River Kwai,1957,David Lean,"William Holden,  Alec Guinness",8.1,\Posters\The Bridge on the River Kwai
167,Trainspotting,1996,Danny Boyle,"Ewan McGregor,  Ewen Bremner",8.1,\Posters\Trainspotting
168,Prisoners,2013,Denis Villeneuve,"Hugh Jackman,  Jake Gyllenhaal",8.1,\Posters\Prisoners
169,Warrior,2011,"""Gavin OConnor ""","Tom Hardy,  Nick Nolte",8.1,\Posters\Warrior
170,Fargo,1996,Joel Coen,"William H. Macy,  Frances McDormand",8.1,\Posters\Fargo
171,Gran Torino,2008,Clint Eastwood,"Clint Eastwood,  Bee Vang",8.1,\Posters\Gran Torino
172,Tonari no Totoro,1988,Hayao Miyazaki,"Hitoshi Takagi,  Noriko Hidaka",8.1,\Posters\Tonari no Totoro
173,Catch Me If You Can,2002,Steven Spielberg,"Leonardo DiCaprio,  Tom Hanks",8.1,\Posters\Catch Me If You Can
174,Million Dollar Baby,2004,Clint Eastwood,"Hilary Swank,  Clint Eastwood",8.1,\Posters\Million Dollar Baby
175,Bacheha-Ye aseman,1997,Majid Majidi,"Mohammad Amir Naji,  Amir Farrokh Hashemian",8.1,\Posters\Bacheha-Ye aseman
176,Blade Runner,1982,Ridley Scott,"Harrison Ford,  Rutger Hauer",8.1,\Posters\Blade Runner
177,The Gold Rush,1925,Charles Chaplin,"Charles Chaplin,  Mack Swain",8.1,\Posters\The Gold Rush
178,Before Sunrise,1995,Richard Linklater,"Ethan Hawke,  Julie Delpy",8.1,\Posters\Before Sunrise
179,12 Years a Slave,2013,Steve McQueen,"Chiwetel Ejiofor,  Michael Kenneth Williams",8.1,\Posters\12 Years a Slave
180,On the Waterfront,1954,Elia Kazan,"Marlon Brando,  Karl Malden",8.1,\Posters\On the Waterfront
181,Harry Potter and the Deathly Hallows - Part 2,2011,David Yates,"Daniel Radcliffe,  Emma Watson",8.1,\Posters\Harry Potter and the Deathly Hallows - Part 2
182,Klaus,2019,Sergio Pablos,"Jason Schwartzman,  J.K. Simmons",8.1,\Posters\Klaus
183,Ben-Hur,1959,William Wyler,"Charlton Heston,  Jack Hawkins",8.1,\Posters\Ben-Hur
184,Gone Girl,2014,David Fincher,"Ben Affleck,  Rosamund Pike",8.1,\Posters\Gone Girl
185,Smultronstället,1957,Ingmar Bergman,"Victor Sjöström,  Bibi Andersson",8.1,\Posters\Smultronstället
186,The Grand Budapest Hotel,2014,Wes Anderson,"Ralph Fiennes,  F. Murray Abraham",8.1,\Posters\The Grand Budapest Hotel
187,The General,1926,Clyde Bruckman,"Buster Keaton,  Marion Mack",8.1,\Posters\The General
188,The Third Man,1949,Carol Reed,"Orson Welles,  Joseph Cotten",8.1,\Posters\The Third Man
189,In the Name of the Father,1993,Jim Sheridan,"Daniel Day-Lewis,  Pete Postlethwaite",8.1,\Posters\In the Name of the Father
190,The Deer Hunter,1978,Michael Cimino,"Robert De Niro,  Christopher Walken",8.1,\Posters\The Deer Hunter
191,Barry Lyndon,1975,Stanley Kubrick,""" Ryan ONeal"",  Marisa Berenson",8.1,\Posters\Barry Lyndon
192,Le salaire de la peur,1953,Henri-Georges Clouzot,"Yves Montand,  Charles Vanel",8.1,\Posters\Le salaire de la peur
193,Hacksaw Ridge,2016,Mel Gibson,"Andrew Garfield,  Sam Worthington",8.1,\Posters\Hacksaw Ridge
194,Salinui chueok,2003,Bong Joon Ho,"Song Kang-ho,  Kim Sang-kyung",8.1,\Posters\Salinui chueok
195,Mr. Smith Goes to Washington,1939,Frank Capra,"James Stewart,  Jean Arthur",8.1,\Posters\Mr. Smith Goes to Washington
196,Sherlock Jr.,1924,Buster Keaton,"Buster Keaton,  Kathryn McGuire",8.1,\Posters\Sherlock Jr.
197,Relatos salvajes,2014,Damián Szifron,"Darío Grandinetti,  María Marull",8.1,\Posters\Relatos salvajes
198,Mad Max: Fury Road,2015,George Miller,"Tom Hardy,  Charlize Theron",8.1,\Posters\Mad Max: Fury Road
199,Det sjunde inseglet,1957,Ingmar Bergman,"Max von Sydow,  Gunnar Björnstrand",8.1,\Posters\Det sjunde inseglet
200,Mary and Max.,2009,Adam Elliot,"Toni Collette,  Philip Seymour Hoffman",8.1,\Posters\Mary and Max.
201,Room,2015,Lenny Abrahamson,"Brie Larson,  Jacob Tremblay",8.1,\Posters\Room
202,How to Train Your Dragon,2010,Dean DeBlois,"Jay Baruchel,  Gerard Butler",8.1,\Posters\How to Train Your Dragon
203,"Monsters, Inc.",2001,Pete Docter,"Billy Crystal,  John Goodman",8.1,"\Posters\Monsters, Inc."
204,Jaws,1975,Steven Spielberg,"Roy Scheider,  Robert Shaw",8.1,\Posters\Jaws
205,The Big Lebowski,1998,Joel Coen,"Jeff Bridges,  John Goodman",8.1,\Posters\The Big Lebowski
206,Dead Poets Society,1989,Peter Weir,"Robin Williams,  Robert Sean Leonard",8.1,\Posters\Dead Poets Society
207,Tôkyô monogatari,1953,Yasujirô Ozu,"Chishû Ryû,  Chieko Higashiyama",8.1,\Posters\Tôkyô monogatari
208,La passion de Jeanne d'Arc,1928,Carl Theodor Dreyer,"Maria Falconetti,  Eugene Silvain",8.1,\Posters\La passion de Jeanne d'Arc
209,Hotel Rwanda,2004,Terry George,"Don Cheadle,  Sophie Okonedo",8.1,\Posters\Hotel Rwanda
210,Ford v Ferrari,2019,James Mangold,"Matt Damon,  Christian Bale",8.0,\Posters\Ford v Ferrari
211,Rocky,1976,John G. Avildsen,"Sylvester Stallone,  Talia Shire",8.0,\Posters\Rocky
212,Platoon,1986,Oliver Stone,"Charlie Sheen,  Tom Berenger",8.0,\Posters\Platoon
213,Spotlight,2015,Tom McCarthy,"Mark Ruffalo,  Michael Keaton",8.0,\Posters\Spotlight
214,Ratatouille,2007,Brad Bird,"Brad Garrett,  Lou Romano",8.0,\Posters\Ratatouille
215,The Terminator,1984,James Cameron,"Arnold Schwarzenegger,  Linda Hamilton",8.0,\Posters\The Terminator
216,Stand by Me,1986,Rob Reiner,"Wil Wheaton,  River Phoenix",8.0,\Posters\Stand by Me
217,Logan,2017,James Mangold,"Hugh Jackman,  Patrick Stewart",8.0,\Posters\Logan
218,Rush,2013,Ron Howard,"Daniel Brühl,  Chris Hemsworth",8.0,\Posters\Rush
219,Network,1976,Sidney Lumet,"Faye Dunaway,  William Holden",8.0,\Posters\Network
220,Pather Panchali,1955,Satyajit Ray,"Kanu Bannerjee,  Karuna Bannerjee",8.0,\Posters\Pather Panchali
221,Into the Wild,2007,Sean Penn,"Emile Hirsch,  Vince Vaughn",8.0,\Posters\Into the Wild
222,Before Sunset,2004,Richard Linklater,"Ethan Hawke,  Julie Delpy",8.0,\Posters\Before Sunset
223,The Wizard of Oz,1939,Victor Fleming,"Judy Garland,  Frank Morgan",8.0,\Posters\The Wizard of Oz
224,Groundhog Day,1993,Harold Ramis,"Bill Murray,  Andie MacDowell",8.0,\Posters\Groundhog Day
225,The Best Years of Our Lives,1946,William Wyler,"Myrna Loy,  Dana Andrews",8.0,\Posters\The Best Years of Our Lives
